Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Herbert Grönemeyer,"Grönemeyer, Herbert",Ö [1988 CD 44kHz DR12],10,1,12,1988,1988,16,44,2,1,1500,1500,,,m90573,1875237,06777e9e-ad85-36a8-be95-670006c9c642,7498c1b5-077b-49f2-9f9d-ba1225632332
Herbert Grönemeyer,"Grönemeyer, Herbert",4630 Bochum - 40 Jahre Edition [2024 Qobuz 44kHz DR05],15,1,05,1984,2024,24,44,2,1,2000,2000,4630 Bochum - 40 Jahre Edition,Qobuz,,30893997,7d58ee5f-e0a9-4c69-a6f9-2f2fb83d69dd,dfc5bb7f-5d0e-4a5f-af0c-63717d086b27
Herbert Grönemeyer,"Grönemeyer, Herbert",4630 Bochum [1984 CD 44kHz DR12],10,1,12,1984,1984,16,44,2,1,1500,1500,,,m90570,6715055,5ff40916-3a5d-3e8c-b6fa-aa454a59f674,9150f8df-0c54-3675-a94e-9998aba1bfce
Simple Minds,Simple Minds,The Best Of Simple Minds [2001 SACD 88kHz DR08],17,2,08,2001,2001,24,88,2,1,2223,2223,,SACD,58948,1703018,,922e17df-1765-417f-80fa-13477d4e9e42
Simple Minds,Simple Minds,Acoustic [2016 CD 44kHz DR07],12,1,07,2016,2016,16,44,2,1,1400,1400,,,m1096140,9414502,b9784057-a3d7-4297-ad4c-a66572d4f4d1,84714b1c-58ff-4e7b-8f39-768e7ebc7a0b
Joe Jackson / Graham Maby / Gary Burke,"Jackson, Joe, Maby, Graham, Burke, Gary",Summer In The City - Live In New York [2022 SACD 88kHz DR13],13,1,13,2000,2022,24,88,2,1,1400,1400,,SACD,m286435,24395369,45379ac1-116e-3644-bc24-39890f3c95d0,b8d2dc3a-8031-47fc-bfd6-e29adace2888
Randy Crawford,"Crawford, Randy",The Ultimate Collection [2005 CD 44kHz DR13],38,1,13,2005,2005,16,44,2,1,1383,1383,,,,1113061,,46a311df-d0d9-4440-992a-e31ba409e9eb
Peter Cetera,"Cetera, Peter",Solitude / Solitaire [1986 CD 44kHz DR14],9,1,14,1986,1986,16,44,2,1,1425,1425,,,m81276,9212967,,e903b4a2-b01c-4ba0-ab0a-ca8a92b91487
Sade,Sade,Diamond Life [1984 CD 44kHz DR15],9,1,15,1984,1984,16,44,2,1,1400,1400,,,m43936,4985683,af2a0c41-e612-3232-949d-bdca340c407c,7c920910-4578-44e6-b573-adb280ed83d8
Sade,Sade,Stronger Than Pride [1988 Qobuz 44kHz DR11],10,1,11,1988,1988,16,44,2,1,3720,3720,,Qobuz,m110941,4691285,ea64beae-333e-37fd-84c4-26a5d6dab17d,042520d9-e2bd-386f-9c7e-ca5d3f678b5c
